condition,encoding_pred,encoding_true,decision_pred,decision_true,confirmation_pred,confirmation_true,response_pred,response_true
SP,0.028089888,0.23595506,0.34269664,0.56179774,0.7977528,0.0,0.96629214,0.9719101
SP,0.025806451,0.14838709,0.23225807,0.30967742,0.5354839,0.0,0.9483871,0.9677419
SP,0.13422818,0.147651,0.17449665,0.17449665,0.6979866,0.0,0.95302016,0.96644294
AC,0.14285715,0.15966387,0.5462185,0.53781515,0.7478992,0.8067227,0.8907563,0.9747899
AC,0.05232558,0.08139535,0.25581396,0.20348836,0.37209302,0.34302327,0.94186044,0.94186044
SP,0.1965812,0.22222222,0.43589744,0.51282054,0.82051283,0.0,0.95726496,0.95726496
AC,0.03960396,0.11386139,0.17326732,0.26732674,0.38613862,0.3960396,0.9653465,0.9752475
SP,0.05970149,0.07462686,0.35820895,0.43283582,0.64179105,0.0,0.91791046,0.8955224
SP,0.060344826,0.0862069,0.3448276,0.5258621,0.62931037,0.0,0.9137931,0.95689654
AC,0.022988506,0.12643678,0.1724138,0.2816092,0.6781609,0.55172414,0.95977014,0.9655172
SP,0.14754099,0.14754099,0.21311475,0.20491803,0.72131145,0.0,0.9508197,0.9590164
SP,0.021798365,0.021798365,0.049046323,0.16076294,0.39782017,0.0,0.9591281,0.95640326
AC,0.02008032,0.064257026,0.08835341,0.08835341,0.21686748,0.5421687,0.9718875,0.9839357
SP,0.042372882,0.19491525,0.40677965,0.41525424,0.7288136,0.0,0.9237288,0.9576271
AC,0.03587444,0.08071749,0.29147983,0.2690583,0.4573991,0.30941704,0.96860987,0.98206276
SP,0.03846154,0.08461539,0.13461539,0.23846154,0.52307695,0.0,0.9576923,0.95
AC,0.064327486,0.116959065,0.21637426,0.25730994,0.5847953,0.9005848,0.94152045,0.9590643
SP,0.048309177,0.057971016,0.11111111,0.11111111,0.705314,0.0,0.9468599,0.942029
AC,0.02202643,0.12334802,0.1585903,0.24669604,0.47577092,0.46255508,0.9647577,0.95154184
AC,0.017605634,0.10915493,0.16549295,0.116197184,0.5809859,0.17253521,0.9612676,0.9683099
AC,0.09271523,0.23841059,0.29801324,0.37086093,0.6092715,0.8410596,0.9735099,0.89403975
AC,0.059880238,0.09580839,0.15568863,0.1497006,0.7305389,0.4730539,0.96407187,0.9461078
AC,0.04347826,0.08695652,0.27329192,0.25465837,0.66459626,0.47204968,0.9627329,0.9130435
AC,0.034013607,0.05102041,0.22108844,0.21088435,0.3605442,0.34013605,0.9727891,0.9727891
SP,0.08080808,0.3030303,0.5555556,0.5555556,0.64646465,0.0,0.93939394,0.94949496
SP,0.04,0.05,0.395,0.395,0.665,0.0,0.945,0.98
AC,0.057268724,0.013215859,0.36563876,0.11013216,0.49779737,0.37885463,0.9779736,0.9779736
SP,0.12643678,0.44827586,0.31034482,0.6781609,0.47126436,0.0,0.954023,0.9425287
SP,0.045714285,0.06285714,0.12571429,0.12,0.45714286,0.0,0.96,0.9771429
AC,0.14782609,0.17391305,0.28695652,0.27826086,0.65217394,0.75652176,0.8869565,0.95652175
SP,0.042424243,0.121212125,0.42424244,0.5030303,0.6363636,0.0,0.95757574,0.95151514
AC,0.05283019,0.049056605,0.094339624,0.18490566,0.61132073,0.46415094,0.9811321,0.9811321
SP,0.025806451,0.2516129,0.21290323,0.21290323,0.8,0.0,0.9548387,0.9483871
AC,0.043956045,0.12637363,0.31318682,0.45604396,0.61538464,0.62637365,0.96703297,0.96703297
SP,0.02919708,0.2919708,0.35766423,0.35766423,0.48175183,0.0,0.9270073,0.9270073
SP,0.07692308,0.07692308,0.2769231,0.2846154,0.7076923,0.0,0.9307692,0.9230769
AC,0.041450776,0.041450776,0.17098446,0.16062176,0.39378238,0.30569947,0.9585492,0.97927463
SP,0.08050848,0.084745765,0.22457626,0.22881356,0.5423729,0.0,0.9576271,0.91525424
AC,0.07177033,0.13875598,0.11004785,0.24401914,0.6602871,0.5885168,0.97607654,0.97607654
AC,0.071428575,0.32539684,0.46031746,0.46031746,0.6825397,0.7619048,0.96825397,0.97619045
AC,0.020408163,0.13877551,0.25306123,0.25306123,0.59591836,0.7714286,0.9510204,0.94285715
SP,0.022222223,0.14444445,0.33333334,0.6,0.67777777,0.0,0.9611111,0.9777778
AC,0.04054054,0.117117114,0.16216215,0.15765765,0.5900901,0.6216216,0.9594595,0.963964
SP,0.058091287,0.099585064,0.25726143,0.593361,0.4439834,0.0,0.9585062,0.9626556
AC,0.027237354,0.112840466,0.28015563,0.21011673,0.52140075,0.44357976,0.97276264,0.9766537
SP,0.05263158,0.19736843,0.32894737,0.31578946,0.57894737,0.0,0.92105263,0.93421054
AC,0.021505376,0.05734767,0.26164874,0.25448027,0.35842294,0.31899643,0.9605735,0.9641577
AC,0.050314464,0.044025157,0.33333334,0.2389937,0.6855346,0.4654088,0.9559748,0.9559748
SP,0.032,0.312,0.192,0.44,0.64,0.0,0.968,0.864
SP,0.05952381,0.13095239,0.29761904,0.32142857,0.52380955,0.0,0.95238096,0.96428573
AC,0.04761905,0.22619048,0.39285713,0.39285713,0.7202381,0.58928573,0.95238096,0.9702381
SP,0.08196721,0.08196721,0.15300547,0.15300547,0.6666667,0.0,0.9508197,0.9508197
SP,0.15555556,0.15555556,0.28148147,0.25925925,0.65925926,0.0,0.8666667,0.8666667
SP,0.039473683,0.039473683,0.13815789,0.3223684,0.5855263,0.0,0.9605263,0.96710527
AC,0.09543569,0.099585064,0.17427386,0.30705395,0.54771787,0.593361,0.966805,0.8921162
AC,0.035190616,0.038123168,0.079178885,0.079178885,0.44868034,0.43695015,0.9560117,0.97947216
SP,0.03726708,0.11801242,0.2795031,0.2857143,0.82608694,0.0,0.9627329,0.9689441
SP,0.055813953,0.069767445,0.13953489,0.4744186,0.60465115,0.0,0.9395349,0.9395349
SP,0.047244094,0.39370078,0.496063,0.503937,0.7637795,0.0,0.96850395,0.96850395
AC,0.02,0.256,0.148,0.436,0.568,0.468,0.968,0.98
SP,0.09543569,0.09543569,0.2614108,0.2614108,0.5103735,0.0,0.97095436,0.9792531
AC,0.024242423,0.23030303,0.35151514,0.4121212,0.6848485,0.57575756,0.93939394,0.94545454
AC,0.031948883,0.03514377,0.09904154,0.15974441,0.38977635,0.38977635,0.96805114,0.98722047
AC,0.10483871,0.12903225,0.30645162,0.30645162,0.61290324,0.7258065,0.9354839,0.9516129
AC,0.049833886,0.059800666,0.15614618,0.1627907,0.45847178,0.4385382,0.9667774,0.9700997
AC,0.10778443,0.1497006,0.20958084,0.2994012,0.6287425,0.502994,0.9520958,0.96407187
AC,0.040816326,0.25170067,0.15646258,0.3605442,0.63265306,0.7755102,0.93877554,0.8979592
SP,0.10344828,0.11724138,0.2551724,0.24827586,0.4,0.0,0.95862067,0.9724138
SP,0.018604651,0.17209302,0.22790697,0.2372093,0.59534883,0.0,0.96279067,0.96744186
AC,0.021276595,0.23404256,0.44680852,0.44148937,0.3723404,0.7180851,0.95212764,0.9680851
SP,0.03076923,0.115384616,0.2769231,0.45384616,0.73846155,0.0,0.95384616,0.96153843
SP,0.021052632,0.057894737,0.26842105,0.2736842,0.6421053,0.0,0.96842104,0.9736842
SP,0.032786883,0.114754096,0.22950819,0.24590164,0.63114756,0.0,0.90163934,0.92622954
AC,0.05940594,0.074257426,0.26732674,0.25742576,0.5990099,0.5148515,0.94554454,0.980198
SP,0.053254437,0.18934911,0.31360948,0.31360948,0.6449704,0.0,0.9230769,0.92899406
SP,0.07865169,0.20224719,0.5955056,0.6179775,0.7752809,0.0,0.8988764,0.8876405
AC,0.06896552,0.23563218,0.25287357,0.3218391,0.5114943,0.41954023,0.9655172,0.97126436
SP,0.1627907,0.3139535,0.60465115,0.60465115,0.5,0.0,0.90697676,0.9302326
SP,0.03846154,0.046153847,0.26923078,0.26923078,0.54615384,0.0,0.96153843,0.96153843
SP,0.04310345,0.37931034,0.47413793,0.5086207,0.7241379,0.0,0.92241377,0.92241377
AC,0.03862661,0.047210302,0.098712444,0.21888413,0.75107294,0.53218883,0.9613734,0.97424895
AC,0.026737968,0.13903743,0.31016043,0.30481285,0.6791444,0.44385028,0.95187163,0.90909094
SP,0.04587156,0.04587156,0.33944955,0.3853211,0.66972476,0.0,0.88990825,0.88073397
AC,0.021390375,0.14438502,0.21925133,0.22994652,0.31016043,0.8395722,0.96256685,0.973262
SP,0.083333336,0.0952381,0.32142857,0.33333334,0.5119048,0.0,0.9285714,0.95238096
SP,0.054347824,0.2826087,0.57608694,0.57608694,0.4021739,0.0,0.8804348,0.9347826
SP,0.038043477,0.13043478,0.17934783,0.18478261,0.70108694,0.0,0.97282606,0.97282606
SP,0.046511628,0.1007752,0.25581396,0.2635659,0.5813953,0.0,0.96899223,0.9767442
AC,0.04511278,0.18796992,0.40601504,0.41353384,0.56390977,0.66917294,0.9548872,0.9548872
AC,0.03773585,0.13207547,0.3773585,0.3899371,0.6163522,0.6855346,0.9496855,0.9622642
AC,0.104166664,0.119791664,0.16145833,0.16145833,0.6197917,0.5364583,0.9635417,0.9739583
SP,0.08,0.10666667,0.12,0.36666667,0.46666667,0.0,0.96666664,0.97333336
SP,0.08391608,0.15384616,0.22377622,0.6083916,0.5314685,0.0,0.9370629,0.9370629
AC,0.05,0.094444446,0.2,0.12777779,0.5277778,0.46666667,0.95555556,0.9611111
AC,0.042979944,0.042979944,0.12893982,0.13467048,0.48137537,0.18624642,0.97707736,0.9885387
AC,0.08982036,0.119760476,0.21556886,0.21556886,0.50898206,0.51497006,0.96407187,0.96407187
SP,0.08256881,0.13761468,0.2293578,0.22018349,0.6146789,0.0,0.9266055,0.95412844
AC,0.03188406,0.034782607,0.104347825,0.104347825,0.46376812,0.1942029,0.9710145,0.9710145
AC,0.023529412,0.0882353,0.18235295,0.18235295,0.5235294,0.5,0.9647059,0.9705882
AC,0.018518519,0.12962963,0.38425925,0.14351852,0.6388889,0.4675926,0.962963,0.9768519
AC,0.0295858,0.07100592,0.295858,0.295858,0.47928995,0.5029586,0.964497,0.98224854
AC,0.036363635,0.061818182,0.09090909,0.094545454,0.4109091,0.3272727,0.94545454,0.93454546
SP,0.0472973,0.24324325,0.4864865,0.5675676,0.8310811,0.0,0.9256757,0.9189189
AC,0.030985916,0.07605634,0.14929578,0.14366198,0.3746479,0.1915493,0.9746479,0.9774648
SP,0.022222223,0.2,0.34074074,0.34074074,0.7185185,0.0,0.9259259,0.8518519
AC,0.016172506,0.08355795,0.14016172,0.13746631,0.3638814,0.46630728,0.9622642,0.99191374
SP,0.028571429,0.12571429,0.21142857,0.35428572,0.5942857,0.0,0.95428574,0.9771429
AC,0.041237112,0.10309278,0.1185567,0.11340206,0.52061856,0.3814433,0.97422683,0.97938144
AC,0.035971224,0.12230216,0.4172662,0.4172662,0.5683453,0.52517986,0.95683455,0.9640288
SP,0.12307692,0.13076924,0.53846157,0.56153846,0.8,0.0,0.9307692,0.93846154
SP,0.07476635,0.36448598,0.45794392,0.43925235,0.5794392,0.0,0.93457943,0.95327103
SP,0.055,0.065,0.26,0.26,0.385,0.0,0.935,0.925
AC,0.017301038,0.05882353,0.2318339,0.2318339,0.449827,0.38408303,0.97231835,0.9688581
AC,0.036101084,0.06859206,0.18411553,0.18411553,0.50180507,0.41877255,0.9494585,0.94584835
AC,0.025139665,0.01396648,0.20111732,0.13128492,0.3463687,0.20391062,0.9776536,0.98044693
AC,0.058651026,0.06451613,0.102639295,0.17302053,0.4222874,0.3548387,0.96480936,0.96480936
SP,0.02247191,0.15730338,0.08239701,0.41573033,0.3071161,0.0,0.9513109,0.9513109
AC,0.07471264,0.109195404,0.13793103,0.13793103,0.6436782,0.68390805,0.95977014,0.97126436
SP,0.07070707,0.11111111,0.7070707,0.7070707,0.43434343,0.0,0.9292929,0.94949496
SP,0.04347826,0.04347826,0.1826087,0.1826087,0.4173913,0.0,0.9391304,0.95652175
AC,0.020920502,0.08368201,0.14644352,0.14225942,0.66945606,0.30962342,0.9539749,0.9790795
AC,0.031914894,0.031914894,0.20744681,0.25,0.5744681,0.6861702,0.9574468,0.9734042
SP,0.0625,0.2986111,0.5277778,0.5277778,0.6875,0.0,0.9444444,0.9513889
SP,0.022222223,0.083333336,0.32222223,0.36666667,0.6388889,0.0,0.96666664,0.9722222
AC,0.030075189,0.21052632,0.24812031,0.2781955,0.575188,0.53759396,0.9699248,0.9736842
AC,0.01858736,0.14498141,0.18959108,0.18215613,0.51301116,0.4275093,0.9628253,0.9665428
AC,0.057803467,0.0867052,0.28323698,0.17919075,0.3583815,0.3468208,0.9479769,0.9306358
AC,0.033653848,0.033653848,0.2451923,0.26442307,0.75961536,0.6298077,0.97596157,0.9807692
AC,0.05533597,0.13043478,0.3478261,0.34387353,0.4229249,0.45454547,0.9644269,0.9525692
SP,0.055555556,0.4722222,0.5555556,0.8981481,0.6296296,0.0,0.9537037,0.9722222
SP,0.014164306,0.11331445,0.20963173,0.21246459,0.66005665,0.0,0.9660057,0.9631728
SP,0.052083332,0.14583333,0.29166666,0.5729167,0.4375,0.0,0.9583333,0.9479167
AC,0.023121387,0.01734104,0.25433525,0.26589596,0.6647399,0.4566474,0.97109824,0.9768786
AC,0.04918033,0.057377048,0.55737704,0.55737704,0.8114754,0.6393443,0.93442625,0.94262296
SP,0.06097561,0.35365853,0.69512194,0.70731705,0.8414634,0.0,0.9268293,0.9634146
SP,0.026595745,0.07978723,0.17021276,0.43617022,0.65425533,0.0,0.9574468,0.9734042
AC,0.12643678,0.12643678,0.22988506,0.25287357,0.43103448,0.41379312,0.8908046,0.954023
AC,0.07522124,0.07522124,0.22566372,0.24778761,0.58849555,0.54867256,0.95132744,0.9557522
SP,0.023121387,0.10404624,0.24855492,0.2716763,0.6416185,0.0,0.9479769,0.9479769
SP,0.040816326,0.25510204,0.41836736,0.5816327,0.6632653,0.0,0.90816325,0.9183673
SP,0.02183406,0.06550218,0.09606987,0.37991267,0.6157205,0.0,0.9781659,0.9781659
AC,0.028213166,0.10344828,0.19122256,0.19435737,0.73040754,0.7868339,0.97178686,0.9059561
SP,0.054545455,0.045454547,0.26363635,0.7909091,0.6727273,0.0,0.96363634,0.92727274
AC,0.08092485,0.19653179,0.32947975,0.32947975,0.8034682,0.61271673,0.97109824,0.97109824
AC,0.064935066,0.064935066,0.22077923,0.21428572,0.6818182,0.6948052,0.95454544,0.97402596
AC,0.021505376,0.07526882,0.28494623,0.29032257,0.5430108,0.52150536,0.9731183,0.97849464
SP,0.01793722,0.23766816,0.12107623,0.38116592,0.6950673,0.0,0.96860987,0.96860987
AC,0.027777778,0.18055555,0.33333334,0.3263889,0.7430556,0.45833334,0.9583333,0.9652778
SP,0.104347825,0.26956522,0.4695652,0.49565217,0.71304345,0.0,0.93043476,0.9217391
SP,0.08759124,0.18978103,0.27737227,0.40875912,0.76642334,0.0,0.8686131,0.8613139
AC,0.044871796,0.12820514,0.42948717,0.42948717,0.5833333,0.5641026,0.96153843,0.9166667
AC,0.09154929,0.112676054,0.1971831,0.3943662,0.75352114,0.7746479,0.9366197,0.92957747
SP,0.049382716,0.2962963,0.3580247,0.39506173,0.56790125,0.0,0.91358024,0.9259259
SP,0.08943089,0.08943089,0.40650406,0.46341464,0.6178862,0.0,0.9186992,0.96747965
SP,0.10967742,0.29677418,0.56774193,0.5548387,0.7225807,0.0,0.9548387,0.9677419
SP,0.077844314,0.18562874,0.30538923,0.35928145,0.74251497,0.0,0.96407187,0.9700599
SP,0.024539877,0.09202454,0.18404908,0.5337423,0.63190186,0.0,0.9570552,0.9631902
AC,0.03076923,0.08717949,0.24102564,0.1897436,0.5897436,0.50769234,0.93846154,0.93846154
SP,0.07368421,0.07368421,0.24210526,0.57894737,0.44210526,0.0,0.8842105,0.8736842
SP,0.043290045,0.08225108,0.16017316,0.1904762,0.7229437,0.0,0.978355,0.991342
AC,0.053333335,0.29333332,0.52,0.50666666,0.70666665,0.70666665,0.8933333,0.8933333
SP,0.042857144,0.114285715,0.25714287,0.62857145,0.45,0.0,0.94285715,0.96428573
AC,0.04232804,0.06349207,0.25396827,0.26455027,0.6984127,0.7089947,0.94708997,0.96825397
SP,0.06741573,0.06741573,0.29213482,0.29213482,0.6292135,0.0,0.96067417,0.9775281
SP,0.062937066,0.18881118,0.5314685,0.53846157,0.4125874,0.0,0.96503496,0.97202796
SP,0.04347826,0.26708075,0.2173913,0.378882,0.76397514,0.0,0.9689441,0.98136646
AC,0.04318937,0.036544852,0.179402,0.15946844,0.5282392,0.25249168,0.9800664,0.9767442
AC,0.09090909,0.35064936,0.3181818,0.33116883,0.71428573,0.53896105,0.9415584,0.97402596
AC,0.046666667,0.046666667,0.20666666,0.34666666,0.5733333,0.56,0.94666666,0.96666664
SP,0.033333335,0.18,0.23333333,0.24,0.6066667,0.0,0.96666664,0.96666664
AC,0.023529412,0.08235294,0.29411766,0.29411766,0.58235294,0.5411765,0.9705882,0.9705882
AC,0.07329843,0.083769634,0.32460734,0.4450262,0.61256546,0.80104715,0.9424084,0.973822
SP,0.05102041,0.071428575,0.21428572,0.5,0.70408165,0.0,0.8979592,0.9591837
AC,0.020661157,0.020661157,0.20661157,0.37603307,0.42561984,0.822314,0.96694213,0.96694213
SP,0.044444446,0.037037037,0.13333334,0.12592593,0.64444447,0.0,0.95555556,0.95555556
SP,0.11363637,0.11931818,0.17045455,0.5625,0.8693182,0.0,0.96022725,0.97159094
SP,0.031746034,0.21428572,0.5,0.8968254,0.5952381,0.0,0.96825397,0.96825397
SP,0.04347826,0.1884058,0.10869565,0.5507246,0.76086956,0.0,0.9492754,0.9637681
SP,0.03141361,0.15706806,0.31937173,0.31937173,0.7277487,0.0,0.9685864,0.973822
SP,0.059602648,0.09271523,0.33774835,0.33112583,0.53642386,0.0,0.9735099,0.9470199
AC,0.01843318,0.023041476,0.10599078,0.0921659,0.4608295,0.66820276,0.96313363,0.97235024
AC,0.031578947,0.13157895,0.17368421,0.26842105,0.56842107,0.42105263,0.96842104,0.9736842
AC,0.02247191,0.18539326,0.28651685,0.30898875,0.80898875,0.5505618,0.9719101,0.9719101
AC,0.06832298,0.124223605,0.3416149,0.3416149,0.49689442,0.48447204,0.95652175,0.95652175
AC,0.01831502,0.20879121,0.16483517,0.26739928,0.50183153,0.3992674,0.981685,0.985348
SP,0.11170213,0.122340426,0.19148937,0.19148937,0.6861702,0.0,0.93085104,0.93085104
SP,0.18518518,0.19444445,0.5092593,0.5092593,0.6203704,0.0,0.8796296,0.75
AC,0.09049774,0.09954751,0.21266969,0.33936653,0.5701358,0.7918552,0.95475113,0.9638009
SP,0.08737864,0.08737864,0.16504854,0.34951457,0.66019416,0.0,0.89320385,0.88349515
SP,0.036036037,0.21621622,0.10810811,0.5855856,0.7747748,0.0,0.9099099,0.972973
AC,0.035460994,0.07092199,0.4893617,0.09219858,0.58156025,0.53900707,0.9432624,0.9716312
AC,0.014662757,0.06451613,0.114369504,0.14076246,0.4516129,0.4457478,0.97360706,0.9882698
AC,0.07909604,0.10169491,0.3502825,0.44067797,0.6666667,0.8248588,0.9717514,0.97740114
AC,0.037037037,0.055555556,0.24074075,0.30864197,0.5123457,0.5493827,0.9444444,0.97530866
SP,0.030075189,0.02255639,0.21804512,0.5413534,0.33082706,0.0,0.94736844,0.9548872
AC,0.03982301,0.07522124,0.26548672,0.26548672,0.48230088,0.42920354,0.96460176,0.9778761
SP,0.026706232,0.14243324,0.28189912,0.27893174,0.43620178,0.0,0.9703264,0.96735907
AC,0.07926829,0.09756097,0.34756097,0.34146342,0.652439,0.6707317,0.9390244,0.93292683
SP,0.027777778,0.104166664,0.20833333,0.22569445,0.4097222,0.0,0.9756944,0.9791667
AC,0.068,0.168,0.232,0.232,0.588,0.384,0.96,0.98
AC,0.02008032,0.0562249,0.3935743,0.3935743,0.7148594,0.7389558,0.97590363,0.9839357
SP,0.024154589,0.077294685,0.1594203,0.41062802,0.52657,0.0,0.96135265,0.96135265
AC,0.034782607,0.08115942,0.13913043,0.1536232,0.4,0.37971014,0.9826087,0.9884058
SP,0.09411765,0.105882354,0.28235295,0.27058825,0.5058824,0.0,0.91764706,0.9411765
SP,0.10989011,0.42857143,0.2747253,0.5714286,0.8131868,0.0,0.95604396,0.9010989
AC,0.07971015,0.11594203,0.442029,0.45652175,0.76811594,0.7753623,0.95652175,0.9710145
SP,0.18518518,0.17283951,0.5555556,0.5308642,0.3580247,0.0,0.9382716,0.9506173
SP,0.12048193,0.43373495,0.5301205,0.6987952,0.39759037,0.0,0.90361446,0.939759
SP,0.048076924,0.048076924,0.48076922,0.48076922,0.6730769,0.0,0.9326923,0.9230769
SP,0.09259259,0.3888889,0.21296297,0.5277778,0.6666667,0.0,0.8981481,0.9259259
AC,0.016620498,0.05540166,0.21606648,0.14404432,0.37950137,0.3130194,0.966759,0.9833795
SP,0.055555556,0.41111112,0.6,0.6111111,0.51111114,0.0,0.93333334,0.95555556
SP,0.061728396,0.12345679,0.41975307,0.7037037,0.5185185,0.0,0.9259259,0.9506173
AC,0.022624435,0.13122173,0.08144797,0.23529412,0.39819005,0.37556562,0.9321267,0.9638009
AC,0.039647575,0.03524229,0.25110132,0.33480176,0.47136563,0.6343612,0.9603524,0.969163
SP,0.05785124,0.0661157,0.5123967,0.5123967,0.59504133,0.0,0.90082645,0.90082645
SP,0.04494382,0.14606741,0.5955056,0.58426964,0.47191012,0.0,0.8988764,0.8988764
SP,0.07826087,0.104347825,0.45217392,0.45217392,0.6173913,0.0,0.8956522,0.87826085
AC,0.06779661,0.14689265,0.28248587,0.28248587,0.53107345,0.55932206,0.9491525,0.9661017
AC,0.021929825,0.013157895,0.13157895,0.34649122,0.5614035,0.50877196,0.9649123,0.9649123
SP,0.090361446,0.10240964,0.16867469,0.40963855,0.60240966,0.0,0.939759,0.92771083
SP,0.032863848,0.13145539,0.20657277,0.4741784,0.68075114,0.0,0.96713614,0.97183096
SP,0.04845815,0.04845815,0.08810572,0.5462555,0.49779737,0.0,0.9779736,0.98678416
AC,0.027777778,0.27083334,0.2638889,0.5555556,0.4861111,0.7361111,0.9583333,0.9722222
SP,0.038251366,0.13661203,0.431694,0.49726775,0.69945353,0.0,0.9508197,0.90163934
SP,0.057471264,0.12643678,0.20114942,0.31609195,0.77011496,0.0,0.9425287,0.95977014
SP,0.060606062,0.14141414,0.6060606,0.5959596,0.7070707,0.0,0.9191919,0.93939394
AC,0.020066889,0.020066889,0.10702341,0.33110368,0.46822742,0.4147157,0.97324413,0.9765886
SP,0.06363636,0.13636364,0.4909091,0.4909091,0.72727275,0.0,0.94545454,0.95454544
AC,0.10218978,0.29927006,0.4379562,0.4452555,0.73722625,0.729927,0.9489051,0.9489051
AC,0.020408163,0.01632653,0.118367344,0.44489795,0.56734693,0.78367347,0.9632653,0.96734697
AC,0.01618123,0.045307443,0.074433655,0.22977346,0.66019416,0.5825243,0.9644013,0.98381877
SP,0.055555556,0.37962964,0.5,0.49074075,0.6574074,0.0,0.9259259,0.9351852
AC,0.08275862,0.089655176,0.14137931,0.24827586,0.48965517,0.5344828,0.9655172,0.9862069
SP,0.036809817,0.15337424,0.34969324,0.4417178,0.6196319,0.0,0.9631902,0.9693251
SP,0.1171875,0.125,0.40625,0.3984375,0.7109375,0.0,0.953125,0.953125
SP,0.033816423,0.048309177,0.2753623,0.2753623,0.5458937,0.0,0.9661836,0.9758454
AC,0.040201005,0.09547739,0.16582915,0.32663316,0.50753766,0.49748743,0.96482414,0.959799
SP,0.07368421,0.042105265,0.6315789,0.6526316,0.48421052,0.0,0.9263158,0.9263158
AC,0.014869888,0.14126395,0.2007435,0.20446096,0.5315985,0.62081784,0.9702602,0.98141265
SP,0.040650405,0.46341464,0.4715447,0.72357726,0.8699187,0.0,0.9512195,0.9593496
AC,0.043636363,0.3018182,0.10545454,0.3272727,0.59272724,0.72727275,0.97818184,0.98545456
AC,0.022522522,0.10810811,0.14864865,0.16666667,0.6171171,0.26126125,0.9504505,0.972973
SP,0.06741573,0.33707866,0.21348314,0.6966292,0.5955056,0.0,0.8764045,0.8764045
SP,0.017064847,0.085324235,0.20819113,0.20477815,0.53583616,0.0,0.98293513,0.97952217
SP,0.04761905,0.27891156,0.5442177,0.53741497,0.8027211,0.0,0.9455782,0.95238096
AC,0.021097047,0.15611814,0.20675105,0.28691983,0.4978903,0.75949365,0.97890294,0.9746835
SP,0.06363636,0.07272727,0.19090909,0.5090909,0.38181818,0.0,0.96363634,0.8727273
SP,0.0931677,0.08695652,0.1552795,0.41614908,0.7080745,0.0,0.9627329,0.9689441
AC,0.07118644,0.07118644,0.26101694,0.2677966,0.40338984,0.32881355,0.96949154,0.9762712
AC,0.07392996,0.105058365,0.23735408,0.23735408,0.5564202,0.58365756,0.94941634,0.9377432
SP,0.08547009,0.17948718,0.30769232,0.43589744,0.5641026,0.0,0.93162394,0.93162394
SP,0.16666667,0.2,0.56666666,0.6,0.73333335,0.0,0.8666667,0.87777776
SP,0.13821138,0.33333334,0.45528457,0.4715447,0.83739835,0.0,0.9512195,0.9512195
SP,0.060747664,0.05140187,0.28037384,0.37383178,0.6168224,0.0,0.96728975,0.9392523
AC,0.054945055,0.06593407,0.1978022,0.21428572,0.75274724,0.6923077,0.96703297,0.96703297
AC,0.032608695,0.08152174,0.57608694,0.5652174,0.7445652,0.70108694,0.95652175,0.9782609
SP,0.03797468,0.07594936,0.37341774,0.37341774,0.5,0.0,0.9556962,0.96202534
SP,0.038793102,0.03448276,0.15948276,0.073275864,0.5646552,0.0,0.9655172,0.9655172
SP,0.048780486,0.05487805,0.43292683,0.4390244,0.69512194,0.0,0.95731705,0.9756098
AC,0.081871346,0.081871346,0.18128654,0.1754386,0.69590646,0.22222222,0.94152045,0.9356725
SP,0.04347826,0.25,0.35869566,0.35869566,0.5,0.0,0.82608694,0.76086956
AC,0.05472637,0.039800994,0.2835821,0.12935324,0.6119403,0.38308457,0.9701493,0.920398
SP,0.136,0.344,0.496,0.488,0.664,0.0,0.952,0.952
AC,0.021276595,0.017021276,0.23829788,0.24255319,0.67659575,0.36595744,0.96595746,0.9787234
AC,0.017793594,0.09608541,0.14234875,0.27758008,0.4519573,0.40925267,0.9644128,0.9857651
SP,0.14285715,0.13186814,0.5934066,0.20879121,0.32967034,0.0,0.8791209,0.8791209
SP,0.05376344,0.10752688,0.3655914,0.65591395,0.76344085,0.0,0.9247312,0.9569892
SP,0.25333333,0.25333333,0.45333335,0.68,0.8,0.0,0.93333334,0.94666666
SP,0.072289154,0.33734939,0.56626505,0.56626505,0.3253012,0.0,0.9518072,0.96385545
AC,0.03305785,0.024793388,0.23966943,0.46280992,0.75206614,0.57024795,0.88429755,0.9752066
SP,0.18072289,0.21686748,0.44578314,0.4698795,0.72289157,0.0,0.91566265,0.939759
SP,0.057142857,0.41904762,0.32380953,0.552381,0.6952381,0.0,0.9142857,0.9142857
AC,0.058035713,0.15625,0.2857143,0.28125,0.68303573,0.58928573,0.95535713,0.9375
AC,0.02877698,0.28057554,0.4388489,0.43165466,0.8776978,0.5539568,0.91366905,0.9064748
SP,0.12727273,0.11818182,0.2090909,0.5181818,0.6727273,0.0,0.94545454,0.96363634
SP,0.14285715,0.3482143,0.7589286,0.7589286,0.5089286,0.0,0.96428573,0.97321427
AC,0.037037037,0.14444445,0.17777778,0.17407407,0.56666666,0.3888889,0.9444444,0.9851852
SP,0.16470589,0.22352941,0.3764706,0.3529412,0.5647059,0.0,0.9411765,0.9529412
SP,0.0952381,0.34285715,0.16190477,0.52380955,0.45714286,0.0,0.93333334,0.95238096
AC,0.12021858,0.12021858,0.34972677,0.35519126,0.56284153,0.46994534,0.95628417,0.95628417
SP,0.05185185,0.044444446,0.28148147,0.38518518,0.62222224,0.0,0.94074076,0.94814813
SP,0.08974359,0.23076923,0.74358976,0.75641024,0.53846157,0.0,0.9358974,0.94871795
